,Complaint Number,Complaint Location Address,Complaint Location City,Complaint Location Zip Code,Vehicle or Stationary,Air Complaint Source Info,Date and Time of Occurrence
0,COMP‐08187,118 fwy traveling west near tampa,Los Angeles,91326,Vehicle,Trucks,4/19/2016 9:31
1,COMP‐08255,4837 Mendota Ave,Los Angeles,90042,Stationary Source,Painting,4/20/2016 17:00
2,COMP‐08308,2010‐2012 F Street,Sacramento,95811,Stationary Source,Dust,nan
3,COMP‐08319,Mesa Drive,Blythe,92225,Stationary Source,Dust,4/22/2016 17:00
4,COMP‐08329,Aliso Canyon Facility (near Rinaldi / Sesnon ),Los Angeles,91326,nan,nan,10/22/2015 17:00
5,COMP‐08340,nan,California City,nan,Stationary Source,Dust,4/23/2016 9:00
6,COMP‐08348,581 N Marshall Ave,El Cajon,92020,Stationary Source,Odors,4/17/2016 17:00
7,COMP‐08425,812 9th Street,Sacramento,95814,nan,nan,4/26/2016 17:00
8,COMP‐08429,nan,Los Angeles,90272,nan,nan,2/14/2016 13:57
9,COMP‐08433,nan,Culver City,nan,nan,nan,4/27/2016 17:00
10,COMP‐08437,nan,Arnold,95223,Stationary Source,nan,3/31/2016 17:00
11,COMP‐08439,nan,Winchester,92596,Stationary Source,Dust,4/27/2016 17:00
12,COMP‐08448,nan,Linden,95236,nan,nan,4/25/2016 17:00
13,COMP‐08450,nan,Mokelumne Hill,95245,Stationary Source,Odors,12/31/2015 16:00
14,COMP‐08460,nan,Los Angeles,91316,nan,nan,4/28/2016 17:00
15,COMP‐08469,nan,Redway,95560,Stationary Source,Asbestos,7/14/2014 7:00
16,COMP‐08473,nan,nan,nan,Stationary Source,Other Stationary Sources,4/30/2016 17:00
17,COMP‐08478,1050 N. Mills,Claremont,91711,nan,nan,5/1/2016 17:00
18,COMP‐08484,1316 Canal Blvd,Richmond,94804,nan,nan,nan
19,COMP‐08486,8824 Piedra Way,Fair Oaks,95628,nan,nan,5/1/2016 17:00
20,COMP‐08493,1660 San Luis Rd,Walnut Creek,94597,Stationary Source,Other Stationary Sources,nan
21,COMP‐08496,1580 Sun Valley Road,Solana Beach,92075,Stationary Source,Other Stationary Sources,nan
22,COMP‐08500,544 S Clarence St,Los Angeles,90033,Stationary Source,Odors,nan
23,COMP‐08512,880 Ferrocaril Road,Atascadero,93422,Vehicle,Trucks,5/3/2016 5:00
24,COMP‐08514,782 G Street,Crescent City,95531,Stationary Source,Odors,2/7/2016 16:00
25,COMP‐08532,800 Derr Street,Vallejo,94590,Stationary Source,Dust,5/3/2016 17:00
26,COMP‐08545,Everywhere in the Sky,Oceanside,92058,nan,nan,5/3/2016 17:00
27,COMP‐08555,11261‐11599 Road 256,Porterville,93257,nan,nan,nan
28,COMP‐08558,1604 South Francisco Court,Antioch,94509,Stationary Source,Odors,5/4/2016 17:00
29,COMP‐08586,555 West 189th St.,Gardena,90248,Stationary Source,nan,5/5/2016 13:43
30,COMP‐08590,3198 W 190th St,Torrance,90501,Stationary Source,Other Stationary Sources,5/6/2016 7:21
31,COMP‐08592,3198 West 190th ST,Torrance,90501,Stationary Source,Other Stationary Sources,5/6/2016 7:21
32,COMP‐08594,3198 West 190th ST,Torrance,90501,nan,nan,5/6/2016 17:00
33,COMP‐08596,3300‐3412 W 190th St,Torrance,90504,Stationary Source,Other Stationary Sources,5/6/2016 7:00
34,COMP‐08598,3198 W 190th St,Torrance,90501,Stationary Source,Other Stationary Sources,5/7/2016 9:00
35,COMP‐08600,Crenshaw Blvd,Torrance,90501,Stationary Source,Other Stationary Sources,5/6/2016 17:00
36,COMP‐08602,3105 Onrado Street,Torrance,90503,Stationary Source,Other Stationary Sources,5/6/2016 7:00
37,COMP‐08604,3017 Opal Street,Torrance,90503,Stationary Source,Other Stationary Sources,5/7/2016 11:00
38,COMP‐08606,Crenshaw & Del Amo Blvd,Torrance,90503,Stationary Source,nan,5/6/2016 17:00
39,COMP‐08608,800‐828 Cherokee Trail,Yucca Valley,92284,Stationary Source,Odors,5/5/2016 17:00
40,COMP‐08610,nan,Torrance,nan,nan,nan,5/6/2016 7:00
41,COMP‐08612,3700 W 190th St,Torrance,90504,Stationary Source,Dust,5/5/2016 17:00
42,COMP‐08616,3700 West 190th Street,Torrance,90504,Stationary Source,Dust,5/5/2016 23:00
43,COMP‐08618,3700 W 190th St,Torrance,90504,Stationary Source,Odors,5/5/2016 20:00
44,COMP‐08620,25333 Bani Ave,Lomita,90717,Stationary Source,Other Stationary Sources,5/9/2016 12:00
45,COMP‐08631,8325 Highway 193,Garden Valley,95633,Stationary Source,Odors,nan
46,COMP‐08633,3700 W 190th St,Torrance,90504,Stationary Source,Other Stationary Sources,5/4/2016 23:00
47,COMP‐08635,3700 w 190th,Torrance,90504,Stationary Source,Other Stationary Sources,5/6/2016 8:00
48,COMP‐08637,Exxpn Mobil,Torrance,nan,nan,nan,5/8/2016 17:00
49,COMP‐08639,19047‐19383 Crenshaw Blvd,Torrance,90504,Stationary Source,nan,5/6/2016 8:00
50,COMP‐08641,18401 Burin Ave,Redondo Beach,90278,Stationary Source,Other Stationary Sources,5/8/2016 17:00
51,COMP‐08643,nan,Hermosa Beach,nan,Stationary Source,nan,nan
52,COMP‐08645,17020 Wilkie Ave,Torrance,90504,Stationary Source,Odors,5/9/2016 17:00
53,COMP‐08673,2835 Columbia St,Torrance,90503,Stationary Source,Other Stationary Sources,5/10/2016 6:00
54,COMP‐08675,1010 Ocean Dr,Hermosa Beach,90254,Stationary Source,Other Stationary Sources,5/10/2016 6:30
55,COMP‐08677,3700 W 190th St,Torrance,90504,Stationary Source,Other Stationary Sources,5/9/2016 17:00
56,COMP‐08681,5432 Sara Drive,Torrance,90503,nan,nan,5/10/2016 8:00
57,COMP‐08683,22422 Palos Verdes Boulevard,Torrance,90505,Stationary Source,Other Stationary Sources,5/10/2016 8:00
58,COMP‐08685,nan,Torrance,90504,Stationary Source,Other Stationary Sources,5/10/2016 6:30
59,COMP‐08687,nan,Torrance,90503,nan,nan,5/10/2016 14:10
60,COMP‐08689,nan,Moreno Valley,92551,Stationary Source,Odors,5/9/2016 17:00
61,COMP‐08692,nan,Torrance,90504,Stationary Source,Other Stationary Sources,5/10/2016 3:00
62,COMP‐08696,nan,Brisbane,94005,Stationary Source,Odors,5/10/2016 15:00
63,COMP‐08703,nan,Los Angeles,90024,nan,nan,4/28/2016 9:30
64,COMP‐08710,nan,Los Angeles,90064,Stationary Source,Other Stationary Sources,5/10/2016 17:00
65,COMP‐08712,nan,Torrance,90502,nan,nan,5/11/2016 6:00
