state, ideoConsist
Alabama, 8.0
Alaska, 8.0
Arizona, 11.0
Arkansas, 8.0
California, 10.0
Colorado, 9.0
Connecticut, 5.0
Delaware, 9.0
Florida, 8.0
Georgia, 10.0
Hawaii, 6.0
Idaho, 6.0
Illinois, 10.0
Indiana, 8.0
Iowa, 9.5
Kansas, 7.0
Kentucky, 4.0
Louisiana, 6.0
Maine, 11.0
Maryland, 10.0
Massachusetts, 10.0
Michigan, 10.0
Minnesota, 8.0
Mississippi, 6.0
Missouri, 9.0
Montana, 9.0
Nebraska, 10.0
Nevada, 7.5
New Hampshire, 11.0
New Jersey, 9.0
New Mexico, 8.0
New York, 10.0
North Carolina, 7.0
North Dakota, 8.0
Ohio, 8.0
Oklahoma, 7.0
Oregon, 13.0
Pennsylvania, 7.5
Rhode Island, 7.5
South Carolina, 5.0
South Dakota, 5.0
Tennessee, 6.0
Texas, 9.0
Utah, 10.0
Vermont, 9.0
Virginia, 12.0
Washington, 10.0
Washington DC, 6.0
West Virginia, 7.0
Wisconsin, 8.0
Wyoming, 3.5
