count,token,is_policy,
479, scott,0,
400, rick,0,
309, @tomfoleyct,0,
274, governor,0,
273, crist,0,
272, debat,0,
269, gov,0,
263, job,1,
258, snyder,0,
243, vote,0,
240, @nygovcuomo,0,
212, burk,0,
202, charli,0,
180, florida,0,
179, #ctgov,0,
177, tax,1,
175, cuomo,0,
170, say,0,
160, @charliecrist,0,
160, new,0,
151, tom,0,
149, rt,0,
145, would,0,
144, time,0,
138, mari,0,
137, state,0,
134, @gregabbott_tx,0,
127, year,0,
124, get,0,
123, wolf,0,
119, work,1,
118, #foleyfail,0,
116, @jerrybrowngov,0,
116, like,0,
115, educ,1,
112, plan,0,
112, want,0,
111, school,1,
111, know,0,
110, ad,0,
108, #pagov,0,
108, icymi,0,
106, dayton,0,
104, campaign,0,
102, support,0,
101, deal,0,
101, voter,0,
100, peopl,0,
97, watch,0,
95, make,0,
94, #gapol,0,
92, one,0,
91, need,0,
88, republican,0,
87, abbott,0,
86, candid,0,
86, wi,0,
84, fact,0,
81, go,0,
81, call,0,
81, million,0,
80, better,0,
78, let,0,
77, right,0,
77, poll,0,
76, tell,0,
75, oppon,0,
74, cut,0,
74, last,0,
74, walker,0,
73, @nathand,0,
73, #ctdebat,0,
73, see,0,
72, vs,0,
72, money,0,
72, hassan,0,
70, elect,0,
70, agre,0,
70, w,0,
70, take,0,
70, fight,0,
69, creat,0,
68, said,0,
68, think,0,
68, us,0,
67, thing,0,
67, rate,0,
66, help,0,
66, fund,0,
65, back,0,
65, thank,0,
65, #nhpolit,0,
63, today,0,
62, talk,0,
62, branstad,0,
61, show,0,
61, hickenloop,0,
59, record,0,
59, public,0,
59,4,0,
59, #copolit,0,
58, @scottwalk,0,
58, question,0,
57,2,0,
57, pay,0,
56, give,0,
56, teacher,1,
55, malloy,0,
54, doyl,0,
53,@burke4wi,0,
53, #ctprogress,0,
53,5,0,
53, rais,0,
52, famili,0,
51, race,0,
51,1,0,
51, hawkin,0,
51, busi,0,
51, @wyllieforgov,0,
51, kid,1,
50, women,1,
50, fail,0,
50, wage,1,
49, answer,0,
49, issu,0,
49, come,0,
49, taxpay,1,
48, i'm,0,
48, promis,0,
48, law,0,
48, greg,0,
48, win,0,
47, care,0,
47, use,0,
47, schauer,0,
47, dan,0,
46, brown,0,
46, join,0,
46, sign,0,
46, ct,0,
46, attack,0,
45, lose,0,
45, differ,0,
45, haley,0,
44,3,0,
44, big,0,
44, @flgovscott,0,
43, texa,0,
43, corrupt,0,
43, tonight,0,
43, first,0,
42, day,0,
42, #winningorlos,0,
42, mark,0,
42, lie,0,
42, rank,0,
42, maggi,0,
41, scandal,0,
41, look,0,
41, davi,0,
41, –,0,
41, good,0,
41, even,0,
41, #texasdeb,0,
41, govern,0,
41, compani,0,
41, mt,0,
41, read,0,
41, john,0,
41, #mngov,0,
41, polici,0,
41, spend,0,
40, can't,0,
40, choic,0,
40, ca,0,
40, increas,0,
39, releas,0,
39, mani,0,
39, wendi,0,
39, stop,0,
39, endors,0,
39, run,0,
39, growth,0,
39, union,1,
39, chang,0,
39, @robastorino,0,
38, keep,0,
38, anoth,0,
38, instead,0,
38, #flgov,0,
38, york,0,
38, billion,0,
37, never,0,
37, could,0,
37, #changethed,0,
37, check,0,
37, real,0,
37, parti,0,
36, end,0,
36, #sayfi,0,
36, live,0,
36, via,0,
36, astorino,0,
36, unemploy,1,
36, bill,0,
36, economi,1,
36, best,0,
35, democrat,0,
35, refus,0,
35, khavari,0,
35, former,0,
35, gun,1,
35, he,0,
35, friend,0,
34, put,0,
34, ny,0,
34, news,0,
34, offic,0,
34, truth,0,
34, @michelleobama,0,
34, believ,0,
33, must,0,
33, i'll,0,
33, wrong,0,
33, got,0,
33, explain,0,
33, polit,0,
33, fallin,0,
33, defend,0,
33, deserv,0,
33, still,0,
33, latest,0,
32,2014,0,
32, andrew,0,
32, either,0,
32, pleas,0,
32, #fldebat,0,
32, readi,0,
32, done,0,
32, worker,0,
32, tv,0,
32, stand,0,
32, open,0,
32, ask,0,
31, night,0,
31, interest,0,
31, video,0,
31, protect,0,
31, hear,0,
31, great,0,
31, michigan,0,
30, sinc,0,
30, u,0,
30, part,0,
30, california,0,
30, continu,0,
30, fals,0,
30, trust,0,
30, nation,0,
29, student,1,
29, nikki,0,
29, equal,0,
29, statement,0,
28, futur,0,
28, michigand,0,
28, realli,0,
28, wisconsin,0,
28, person,0,
28, that,0,
28, pa,0,
27, lead,0,
27, jerri,0,
27, bad,0,
27, hous,0,
27, start,0,
27, clear,0,
27, budget,0,
27, mean,0,
27, ga,0,
27, word,0,
26, @spudlovr,0,
26, stori,0,
26, much,0,
26, econom,1,
26, tour,0,
26, #flgovdeb,0,
26, rape,1,
26, dorman,0,
26, sure,0,
26, #teamschauer,0,
26, hurt,0,
26, leader,0,
26, noth,0,
26, tri,0,
26, turn,0,
26, number,0,
25, floridian,0,
25, fl,0,
25, f,0,
25,10,0,
25, ;@,0,
25, repeal,0,
25, properti,0,
25, texan,0,
25, everyon,0,
24, we'r,0,
24,#t51debat,0,
24, mead,0,
24, event,0,
24, feder,0,
24, oppos,0,
24, frack,0,
24, justic,0,
24, court,0,
24, children,0,
24, act,0,
24, break,0,
24, hide,0,
24, board,0,
24, @eclectablog,0,
24, minimum,0,
24, dollar,0,
24, privat,0,
23, full,0,
23, made,0,
23, georgia,0,
23, #wyllieforgov,0,
23, lost,0,
23, near,0,
23, tough,0,
23, insur,0,
23, claim,0,
23,6,0,
23, recoveri,0,
23, rememb,0,
23, less,0,
23, respons,0,
23, hope,0,
23, dead,0,
22, challeng,0,
22, #negov,0,
22, enough,0,
22, top,0,
22, ban,0,
22, administr,0,
22, love,0,
22, import,0,
22, group,0,
22, away,0,
22, rule,0,
22, insid,0,
22, tomorrow,0,
22, commerc,1,
22, learn,0,
22, feel,0,
22, yesterday,0,
22, fraud,0,
22, america,0,
22, two,0,
22, leadership,0,
22, lesser,0,
22, nh,0,
21, carter,0,
21, @devilradio,0,
21, meet,0,
21, wylli,0,
21, lot,0,
21, accept,0,
21, miss,0,
21, minor,0,
21, @scottfreefla,0,
21, friday,0,
