favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
2,TweetDeck,Today I swore-in Fitzgerald Washington as our new @al_labor Commissioner. Here is the ceremony and remarks. Video: http://t.co/aVCuLdGVte,,False,Mon Aug 04 20:33:08 +0000 2014,2,496393418646749184
4,Hootsuite,Nick’s Kids foundation has donated over $4 million dollars to help several  charities &amp; other causes #MMQB Club http://t.co/eMK1uooVMs,,False,Mon Sep 22 17:54:53 +0000 2014,9,514110598268076034
14,Twitter for iPhone,I am proud of the people of Alabama and honored to be the Governor of this great state. May God bless the great state of Alabama. #ReadyAL,,False,Fri Sep 12 15:46:58 +0000 2014,4,510454532275720192
1,Twitter for iPhone,I am glad to be here today to recognize students and teachers who have excelled in the A+ College Ready program.,,False,Wed Aug 27 15:08:01 +0000 2014,1,504646520579571712
0,Hootsuite,I’m honored to be the guest speaker at the Monday Morning QB Club http://t.co/MfLnozzZQK,,False,Mon Sep 22 17:18:52 +0000 2014,0,514101537602551808
3,Twitter for iPhone,I am proud to announce that all 67 Alabama counties are now a part of our Yellow Dot program. http://t.co/WL5WB98wWT,,False,Fri Oct 03 15:09:01 +0000 2014,2,518055123151781888
1,Twitter for iPhone,Earlier this year we announced over 100 new grants to give more children access to high quality Pre-K programs. Link: http://t.co/ulqXwTqVWC,,False,Mon Sep 22 15:27:13 +0000 2014,1,514073437569310720
6,Twitter for iPhone,I am enjoying watching the Mule Day parade! http://t.co/AZUgevEcnz,,False,Sat Sep 27 16:45:05 +0000 2014,3,515904974950514688
0,Twitter for iPhone,@FirstLadyDB and I took a small detour to Big Bob Gipson's BBQ in Decatur before the Beltline ribbon cutting at 1. http://t.co/ep6vmMEd48,,False,Mon Sep 08 17:42:36 +0000 2014,1,509034077882945537
18,Twitter for iPhone,It was great meeting some of the reenacters at today's 150th anniversary of the Battle of Mobile Bay. http://t.co/2m70Od3Jyk,,False,Sun Aug 03 19:18:54 +0000 2014,7,496012349514715136
1,Hootsuite,"Thanks Dr. Gogue for your hospitality, @FirstLadyDB and I always enjoy visiting @AuburnU http://t.co/XPcnQ6ocGq",,False,Sat Sep 27 22:34:54 +0000 2014,1,515993006353416192
2,Hootsuite,I want to congratulate all the @AuburnU 2014 Miss Homecoming candidates! http://t.co/3WvOq9LNN0,,False,Sat Sep 27 21:55:47 +0000 2014,1,515983164679131138
5,TweetDeck,Join me tonight in supporting @FirstLadyDB at the #DBversusDV candlelight vigil at the Capitol. Event starts at 7:30. http://t.co/bfKLQvXzvb,,False,Wed Oct 01 18:38:33 +0000 2014,6,517383081578467328
4,TweetDeck,"It was great to meet with Dr. Tony Waldrop, president of @UofSouthAlabama today. I appreciate the signed football. http://t.co/TjwudQqJH1",,False,Fri Aug 22 21:48:52 +0000 2014,6,502935459631480834
3,Twitter for iPhone,"I want to make sure everyone understands the importance of reporting, but also the importance of sharing this information with others.",,False,Wed Sep 24 15:10:44 +0000 2014,4,514794065712644097
6,Twitter for iPhone,I am proud to be in Russellville today to announce more jobs coming to Alabama thanks to @claytonhomes http://t.co/N5EpypKmvR,,False,Fri Aug 08 14:45:42 +0000 2014,7,497755536092561409
9,Twitter for iPhone,"Alabama now ranks first in the nation for percent increases in Math, Science &amp; English AP qualifying scores for minority students.",,False,Wed Aug 27 15:12:34 +0000 2014,9,504647665674883072
6,Hootsuite,"I’m excited to join SKF officials for their ribbon cutting ceremony at their new $4 million, 31,200-sq-foot facility http://t.co/i4xDPOxXgd",,False,Mon Oct 20 13:26:40 +0000 2014,3,524189962556940289
2,TweetDeck,Had a great interview today with @AJInsight for @BloombergNews about Asian economic investments in Alabama. http://t.co/gNAupmKRAb,,False,Wed Aug 06 15:51:21 +0000 2014,3,497047280810483712
4,iOS,It was a pleasure getting to talk with some students and parents from Hayden Elementary School this morning. http://t.co/21aEa13ihD,,False,Fri Oct 03 19:36:57 +0000 2014,2,518122553131675649
1,TweetDeck,Had a great meeting with Commissioner Kim Thomas today. He updated me on the latest from the Dept. of Corrections. http://t.co/HjKV6vpUFi,,False,Tue Sep 09 21:21:34 +0000 2014,0,509451571705286656
1,Twitter for iPhone,ICYMI: AL's Pre-K program is the best in the nation. Great article by @aldotcom on our state led program. Link: http://t.co/RWjXyaLb8Q,,False,Mon Sep 22 15:24:12 +0000 2014,3,514072680832970752
10,TweetDeck,Join me in wishing Alabama's Lt. Governor Kay Ivey a very Happy Birthday! @LtGovIvey http://t.co/IHHY0Ye5zx,,False,Wed Oct 15 21:14:19 +0000 2014,4,522495710219231234
10,TweetDeck,Abortion is a fundamental assault on the sanctity of innocent human life.  I'm  disappointed by today's ruling. More: http://t.co/xnf8HRi6Nc,,False,Mon Aug 04 17:03:31 +0000 2014,8,496340668181405696
1,TweetDeck,Our job recruitment efforts will continue until every Alabamian who wants a job has the opportunity to find one.,,False,Fri Sep 19 13:04:05 +0000 2014,2,512950255784968192
12,Twitter for iPhone,Saying a prayer with Troy's Homecoming court before the winner was announced today during halftime. http://t.co/R6pzQmTYF9,,False,Sat Oct 11 21:23:22 +0000 2014,8,521048437815787520
