state,TotalTaxRevenue_inthousands,TaxRevenue_in_mil,Environmental_Spending,Total_Spending_inmil,Rank,shalegasamount,crudeoilamount,naturalgasamount,MedianAge,percentcaucasian,GDPpercap,LegControl,Fifteen,Fourteen,Thirteen,Superfund,PovertyRate,Land Area_sq.miles
Alabama,9755439,857,595886002,14990,40,0,64,2261,38.4,68.8,36856,0,1,0,0,12,19.2,52420.07
Alaska,863723,337,87330800,10633,37,0,2034,4609,33.4,66,67705,0,1,0,0,6,11.4,665384.04
Arizona,14082100,1400,208160500,18030,25,0,0,0,36.8,78.4,38414,0,1,0,0,9,18.2,113990.3
Arkansas,9190212,698,51888439,16502,41,7164,51,8343,37.7,78,36196,0,1,0,0,9,18.7,53178.55
California,151172643,6200,9108000000,158996,13,31,2333,2186,35.8,61.8,57328,1,1,0,0,98,16.4,163696.32
Colorado,12810632,2000,776681293,24285,20,3115,1212,18274,36.3,84.2,52622,2,1,0,0,20,12.1,104093.67
Connecticut,16231958,734,26971049,21741,5,0,0,0,40.4,77.3,63747,1,1,0,0,14,10.8,5543.41
Delaware,3513916,145,134164400,7355,23,0,0,0,39.3,69.4,64040,1,1,0,0,14,13,2488.72
Florida,37217759,3500,1308566053,50003,16,0,16,0,41.4,76,39093,0,1,0,0,54,16.6,65757.7
Georgia,19723730,1800,248600677,30593,28,0,0,0,35.9,60.2,43913,0,1,0,0,16,18.4,59425.15
Hawaii,6485563,604,130881588,9850,14,0,0,0,38,25.4,50320,1,1,0,0,3,11.5,10931.72
Idaho,3975445,447,264940700,4776,34,0,0,0,35.5,91.7,35467,0,1,0,0,6,14.8,83568.95
Illinois,39283051,1700,402300000,51506,24,0,31,0,37.3,72.3,53432,1,1,0,0,45,14.3,57913.55
Indiana,17399650,1100,322123470,19037,39,0,8,0,37.3,84.2,44797,0,1,0,0,39,15.2,36419.55
Iowa,9189255,649,79754057,15429,38,0,0,0,38.1,91.2,50086,2,1,0,0,12,12.3,56272.81
Kansas,7883960,481,68105672,11161,42,5,337,3360,36,85.2,46890,0,1,0,0,12,13.5,82278.36
Kentucky,11597983,756,226525700,19512,43,13,10,1464,38.5,87.6,38603,2,1,0,0,13,19,40407.8
Louisiana,9718755,893,113321097,19580,45,9154,424,16326,36.1,62.8,44293,0,1,0,0,13,19.9,52378.13
Maine,4064075,548,74923412,5189,6,0,0,0,43.8,95,38450,2,1,0,0,13,14,35379.74
Maryland,19849988,951,344843088,28283,11,0,0,0,38.2,57.6,54894,1,1,0,0,20,10.4,12405.93
Massachusetts,27012206,911,143162000,45535,2,0,0,0,39.3,79.6,64507,1,1,0,0,31,11.7,10554.39
Michigan,26957337,2100,502591800,31232,18,1006,43,1415,39.5,79,42631,0,1,0,0,65,16.2,96713.51
Minnesota,24439253,1400,241150000,24613,7,0,0,0,37.7,84.8,53380,2,1,0,0,24,11.4,86935.83
Mississippi,7906514,620,52236352,11481,35,11,158,483,36.5,59.2,31633,0,1,0,0,9,21.9,48431.78
Missouri,11956143,889,454542115,16626,30,0,0,0,38.2,82.6,42943,0,1,0,0,33,15.5,69706.99
Montana,2843465,286,57641497,4194,49,360,326,712,39.7,89.2,39686,0,1,0,0,17,15.2,147039.71
